Modèle,Accuracy,F1-Score,Précision,Rappel,MCC,AUC-ROC,AP
Logistic Regression,0.48598130841121495,0.38289340726353654,0.5183807514549027,0.48598130841121495,0.018778353974061596,0.5161790966386555,0.5386105859292569
Random Forest,0.47710280373831776,0.30873255820941053,0.7506521083745133,0.47710280373831776,0.020634107188901327,0.6591741071428571,0.6361174434786828
Svm Linearsvc,0.4985981308411215,0.4617894373433737,0.5166292999016099,0.4985981308411215,0.025782240768604508,0.5171192226890756,0.5441961570157395
Xgboost,0.4808411214953271,0.31852908594901025,0.6709686185319893,0.4808411214953271,0.05052563941682152,0.4513795518207283,0.51084244003917
DistilBERT,0.9098130841121496,0.909857927482069,0.9103895343105386,0.9098130841121496,0.8199472810318711,0.9690537464985997,0.9726265808490867
