Modèle,Accuracy,F1-Score,Précision,Rappel,Temps (s),Modele,Precision,Temps (min)
SVM (LinearSVC),0.9420560747663552,0.9420560747663552,0.9420560747663552,0.9420560747663552,0.0417876243591308,,,
Logistic Regression,0.9411214953271028,0.941128760518794,0.9411508435176263,0.9411214953271028,0.0380830764770507,,,
Random Forest,0.9018691588785048,0.9019007885774998,0.9045831809166428,0.9018691588785048,0.9134986400604248,,,
XGBoost,0.9074766355140188,0.9075251405543784,0.9090004702286488,0.9074766355140188,30.99551725387573,,,
,0.9098130841121496,0.909857927482069,,0.9098130841121496,,DistilBERT,0.9103895343105386,6.622361969947815
