,Accuracy,F1,Precision,Recall,MCC,AUC-ROC
SVM,0.938785046728972,0.9388001896954457,0.9388846893206668,0.938785046728972,0.8774369154178485,
Logistic Regression,0.9261682242990654,0.9261940554110047,0.9263817724331742,0.9261682242990654,0.8522920211426033,0.9761712184873952
Random Forest,0.9009345794392524,0.900988599823715,0.9021064738263946,0.9009345794392524,0.8028349165827205,0.9694222689075628
XGBoost,0.9042056074766356,0.904246842695462,0.9063934130178048,0.9042056074766356,0.8104881024124895,0.9682571778711484
DistilBERT,0.9285046728971963,0.9284893179868158,0.9285068946766729,0.9285046728971963,0.8566704193690053,0.9755628501400562
